Antecedent;Consequent
 Salat Port.  0,60|  Semmeln ; BeiwerkTeller|  Dessert a 0,60| 
 BeiwerkTeller|  Dessert a 0,60|  Salat Port.  0,60 ; Semmeln   
 BeiwerkTeller|  Dessert a 0,60|  Semmeln ; Salat Port.  0,60   
 BeiwerkTeller|  Salat Port.  0,60|  Semmeln ; Dessert a 0,60   
 Dessert a 0,60|  Salat Port.  0,60|  Semmeln ; BeiwerkTeller   
 Dessert a 0,60|  SalatTeller ; Tagessuppe a 0,30   
 SalatTeller|  Semmeln ; Dessert a 0,60|  Tagessuppe a 0,30| 
 Dessert a 0,60|  SalatTeller|  Semmeln ; Tagessuppe a 0,30   
 Dessert a 0,60|  SalatTeller|  Tagessuppe a 0,30 ; Semmeln   
 Dessert a 0,60|  Semmeln|  Tagessuppe a 0,30 ; SalatTeller   
 SalatTeller|  Semmeln|  Tagessuppe a 0,30 ; Dessert a 0,60   
 Dessert a 1,60|  Fixer Rabatt/Aufschl. ;" O-Saft frisch|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Salat Port.  0,60| "
" Dessert a 1,60|  Fixer Rabatt/Aufschl.|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen  "; O-Saft frisch|  Salat Port.  0,60| 
 Dessert a 1,60|  Fixer Rabatt/Aufschl.|  Salat Port.  0,60 ;" O-Saft frisch|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen | "
 Dessert a 1,60|  Fixer Rabatt/Aufschl.|  O-Saft frisch ;" Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Salat Port.  0,60| "
 Fixer Rabatt/Aufschl.|  O-Saft frisch|  Salat Port.  0,60 ;" Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen    "
" Dessert a 1,60|  Fixer Rabatt/Aufschl.|  O-Saft frisch|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen  "; Salat Port.  0,60   
 Dessert a 1,60|  Fixer Rabatt/Aufschl.|  O-Saft frisch|  Salat Port.  0,60 ;" Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen    "
" Dessert a 1,60|  Fixer Rabatt/Aufschl.|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Salat Port.  0,60 "; O-Saft frisch   
" Dessert a 1,60|  O-Saft frisch|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Salat Port.  0,60 "; Fixer Rabatt/Aufschl.   
" Fixer Rabatt/Aufschl.|  O-Saft frisch|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Salat Port.  0,60 "; Dessert a 1,60   
 Fixer Rabatt/Aufschl.|  Salat Port.  0,60 ;" Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen    "
 BeiwerkTeller|  Salat Schale ; Dessert a 1,60   
 Dessert a 0,60|  Suppe 1,00 ;" Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen    "
 Beilage a 0,45|  O-Saft frisch|  Suppe 1,00 ; Salat Port.  0,60   
 Beilage a 0,45|  Salat Port.  0,60|  Suppe 1,00 ; O-Saft frisch   
 Tagessuppe a 0,30|  Tagessuppe a 0,30 ; SalatTeller   
 Salat Port.  0,60|  Salat Port.  0,60 ; Beilage a 0,45|  O-Saft frisch| 
 Beilage a 0,45|  Salat Port.  0,60|  Salat Port.  0,60 ; O-Saft frisch   
 Beilage a 0,45|  O-Saft frisch ; Salat Port.  0,60   
 O-Saft frisch|  O-Saft frisch ; Beilage a 0,45   
