Antecedent;Consequent
 BIO Joghurt Frucht|  O-Saft frisch ; Molkereiprodukte 0,65   
 Molkereiprodukte 0,65|  O-Saft frisch ; BIO Joghurt Frucht   
 BIO Joghurt Frucht|  Breze 0,65 ; Dessert a 0,60|  Suppe 1,00| 
 BIO Joghurt Frucht|  Dessert a 0,60 ; Breze 0,65|  Suppe 1,00| 
 Breze 0,65|  Dessert a 0,60 ; Suppe 1,00   
 BIO Joghurt Frucht|  Suppe 1,00 ; Breze 0,65|  Dessert a 0,60| 
 BIO Joghurt Frucht|  Breze 0,65|  Dessert a 0,60 ; Suppe 1,00   
 BIO Joghurt Frucht|  Breze 0,65|  Suppe 1,00 ; Dessert a 0,60   
 BIO Joghurt Frucht|  Dessert a 0,60|  Suppe 1,00 ; Breze 0,65   
 Breze 0,65|  Dessert a 0,60|  Suppe 1,00 ; BIO Joghurt Frucht   
 Backwaren Kuchen 1,30|  Dessert a 0,60 ; O-Saft frisch|  Tagessuppe a 0,30| 
 Backwaren Kuchen 1,30|  Tagessuppe a 0,30 ; Dessert a 0,60|  O-Saft frisch| 
 Dessert a 0,60|  Tagessuppe a 0,30 ; O-Saft frisch   
 Backwaren Kuchen 1,30|  O-Saft frisch ; Dessert a 0,60|  Tagessuppe a 0,30| 
 Dessert a 0,60|  O-Saft frisch ; Tagessuppe a 0,30   
 Backwaren Kuchen 1,30|  Dessert a 0,60|  O-Saft frisch ; Tagessuppe a 0,30   
 Backwaren Kuchen 1,30|  Dessert a 0,60|  Tagessuppe a 0,30 ; O-Saft frisch   
 Backwaren Kuchen 1,30|  O-Saft frisch|  Tagessuppe a 0,30 ; Dessert a 0,60   
 Dessert a 0,60|  O-Saft frisch|  Tagessuppe a 0,30 ; Backwaren Kuchen 1,30   
 Breze 0,65|  Dessert a 0,80 ; SalatTeller   
 Breze 0,65|  Port. Butter Honig ec ; Dessert a 0,80|  SalatTeller| 
 Dessert a 0,80|  Port. Butter Honig ec ; Breze 0,65|  SalatTeller| 
 Port. Butter Honig ec|  SalatTeller ; Breze 0,65|  Dessert a 0,80| 
 Breze 0,65|  Dessert a 0,80|  Port. Butter Honig ec ; SalatTeller   
 Breze 0,65|  Dessert a 0,80|  SalatTeller ; Port. Butter Honig ec   
 Breze 0,65|  Port. Butter Honig ec|  SalatTeller ; Dessert a 0,80   
 Dessert a 0,80|  Port. Butter Honig ec|  SalatTeller ; Breze 0,65   
 Kornsemmel 0,40|  Port. Butter Honig ec ; O-Saft frisch|  Salat Schale|  Tagessuppe a 0,30| 
