Antecedent;Consequent
" O-Saft frisch|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Salat Schale|  Salat Schale "; Dessert a 0,80|  Suppe 1,00| 
" Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Salat Schale|  Salat Schale|  Suppe 1,00 "; Dessert a 0,80|  O-Saft frisch| 
" Dessert a 0,80|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Suppe 1,00 "; O-Saft frisch   
" Dessert a 0,80|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Salat Schale|  Salat Schale "; O-Saft frisch|  Suppe 1,00| 
" Dessert a 0,80|  O-Saft frisch|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen  "; Suppe 1,00   
" Dessert a 0,80|  O-Saft frisch|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Suppe 1,00 "; Salat Schale   
" Dessert a 0,80|  O-Saft frisch|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Salat Schale|  Salat Schale "; Suppe 1,00   
 Dessert a 0,80|  O-Saft frisch|  Salat Schale|  Salat Schale|  Suppe 1,00 ;" Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen    "
" Dessert a 0,80|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Salat Schale|  Salat Schale|  Suppe 1,00 "; O-Saft frisch   
" O-Saft frisch|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Salat Schale|  Salat Schale|  Suppe 1,00 "; Dessert a 0,80   
 Dessert a 0,80|  O-Saft frisch|  Salat Schale ;" Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Suppe 1,00| "
 Dessert a 0,80|  Salat Schale|  Suppe 1,00 ;" O-Saft frisch|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen | "
" O-Saft frisch|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Suppe 1,00 "; Salat Schale   
" Dessert a 0,80|  O-Saft frisch|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Salat Schale "; Suppe 1,00   
 Dessert a 0,80|  O-Saft frisch|  Salat Schale|  Suppe 1,00 ;" Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen    "
" Dessert a 0,80|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Salat Schale|  Suppe 1,00 "; O-Saft frisch   
" O-Saft frisch|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Salat Schale|  Suppe 1,00 "; Dessert a 0,80   
 Dessert a 0,80|  Dessert a 1,60 ; Salat Port.  0,60|  Tagessuppe a 0,30| 
 Dessert a 0,80|  Dessert a 1,60|  Salat Port.  0,60 ; Tagessuppe a 0,30   
 Dessert a 0,80|  Dessert a 1,60|  Tagessuppe a 0,30 ; Salat Port.  0,60   
 Dessert a 0,80|  Salat Port.  0,60|  Tagessuppe a 0,30 ; Dessert a 1,60   
 Dessert a 1,60|  Salat Port.  0,60|  Tagessuppe a 0,30 ; Dessert a 0,80   
 Dessert a 0,80|  Dessert a 0,80 ; Beilage a 0,45|  O-Saft frisch|  Salat Port.  0,60| 
 Dessert a 0,80|  Dessert a 0,80|  O-Saft frisch ; Beilage a 0,45|  Salat Port.  0,60| 
 Dessert a 0,80|  Dessert a 0,80|  Salat Port.  0,60 ; Beilage a 0,45|  O-Saft frisch| 
 Beilage a 0,45|  Dessert a 0,80|  Dessert a 0,80 ; O-Saft frisch|  Salat Port.  0,60| 
 Beilage a 0,45|  Dessert a 0,80|  Dessert a 0,80|  O-Saft frisch ; Salat Port.  0,60   
 Beilage a 0,45|  Dessert a 0,80|  Dessert a 0,80|  Salat Port.  0,60 ; O-Saft frisch   
 Dessert a 0,80|  Dessert a 0,80|  O-Saft frisch|  Salat Port.  0,60 ; Beilage a 0,45   
 Beilage a 0,45|  Dessert a 0,80|  O-Saft frisch ; Salat Port.  0,60   
 Dessert a 0,80|  O-Saft frisch|  Salat Port.  0,60 ; Beilage a 0,45   
 Dessert a 1,60|  Dessert a 1,60 ; Tagessuppe a 0,30   
 Dessert a 1,60|  Dessert a 1,60|  Suppe 1,00 ; Tagessuppe a 0,30   
 Dessert a 1,60|  Dessert a 1,60|  Tagessuppe a 0,30 ; Suppe 1,00   
" Dessert a 1,60|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  SalatTeller "; Suppe 1,00   
" Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  SalatTeller|  Suppe 1,00 "; Dessert a 1,60   
 SalatTeller|  SalatTeller ; Suppe 1,00   
 Beilage a 0,45|  Salat Port.  0,60|  SalatTeller ; Tagessuppe a 0,30   
 Beilage a 0,45|  Salat Port.  0,60|  Tagessuppe a 0,30 ; SalatTeller   
