Antecedent;Consequent
 Backwaren 1,80 | Kornsemmel 0,40 ; Obstbecher 0,90 | Port. Butter Honig ec | Teebeutel |
 Backwaren 1,80 | Kornsemmel 0,40 | Obstbecher 0,90 ; Port. Butter Honig ec | Teebeutel |
 Backwaren 1,80 | Kornsemmel 0,40 | Port. Butter Honig ec ; Obstbecher 0,90 | Teebeutel |
 Backwaren 1,80 | Kornsemmel 0,40 | Teebeutel ; Obstbecher 0,90 | Port. Butter Honig ec |
 Backwaren 1,80 | Obstbecher 0,90 | Teebeutel ; Port. Butter Honig ec    
 Backwaren 1,80 | Port. Butter Honig ec | Teebeutel ; Obstbecher 0,90    
 Backwaren 1,80 | Kornsemmel 0,40 | Obstbecher 0,90 | Port. Butter Honig ec ; Teebeutel    
 Backwaren 1,80 | Kornsemmel 0,40 | Obstbecher 0,90 | Teebeutel ; Port. Butter Honig ec    
 Backwaren 1,80 | Kornsemmel 0,40 | Port. Butter Honig ec | Teebeutel ; Obstbecher 0,90    
 Backwaren 1,80 | Obstbecher 0,90 | Port. Butter Honig ec | Teebeutel ; Kornsemmel 0,40    
 Backwaren 1,80 | Ei 0,30 ; Obstbecher 0,90 | Port. Butter Honig ec |
 Backwaren 1,80 | Ei 0,30 | Obstbecher 0,90 ; Port. Butter Honig ec    
 Backwaren 1,80 | Ei 0,30 | Port. Butter Honig ec ; Obstbecher 0,90    
 Backwaren 1,80 | Obstbecher 0,90 ; Port. Butter Honig ec    
 Backwaren 1,80 | Port. Butter Honig ec ; Obstbecher 0,90    
 Senf 0,10 | WeiÃŸwurst Telle; Breze 0,65 | Port. Butter Honig ec |
 Breze 0,65 | Senf 0,10 | WeiÃŸwurst Telle; Port. Butter Honig ec    
 Port. Butter Honig ec | Senf 0,10 | WeiÃŸwurst Telle; Breze 0,65    
 Gericht frei | Semmeln ; Backwaren Kuchen 1,30 | Breze 0,65 | Port. Butter Honig ec |
 Gericht frei | WeiÃŸwurst Telle; Backwaren Kuchen 1,30 | Breze 0,65 | Port. Butter Honig ec | Semmeln |
 Gericht frei | Port. Butter Honig ec | Semmeln ; Backwaren Kuchen 1,30 | Breze 0,65 |
 Gericht frei | Port. Butter Honig ec | WeiÃŸwurst Telle; Backwaren Kuchen 1,30 | Breze 0,65 | Semmeln |
 Gericht frei | Semmeln | WeiÃŸwurst Telle; Backwaren Kuchen 1,30 | Breze 0,65 | Port. Butter Honig ec |
 Breze 0,65 | Gericht frei | Semmeln ; Backwaren Kuchen 1,30 | Port. Butter Honig ec |
 Breze 0,65 | Gericht frei | WeiÃŸwurst Telle; Backwaren Kuchen 1,30 | Port. Butter Honig ec | Semmeln |
 Breze 0,65 | Gericht frei | Port. Butter Honig ec ; Backwaren Kuchen 1,30 | Semmeln |
 Breze 0,65 | Gericht frei | Port. Butter Honig ec | Semmeln ; Backwaren Kuchen 1,30    
 Breze 0,65 | Gericht frei | Port. Butter Honig ec | WeiÃŸwurst Telle; Backwaren Kuchen 1,30 | Semmeln |
 Breze 0,65 | Gericht frei | Semmeln | WeiÃŸwurst Telle; Backwaren Kuchen 1,30 | Port. Butter Honig ec |
 Gericht frei | Port. Butter Honig ec | Semmeln | WeiÃŸwurst Telle; Backwaren Kuchen 1,30 | Breze 0,65 |
 Backwaren Kuchen 1,30 | Gericht frei ; Breze 0,65 | Port. Butter Honig ec | Semmeln |
 Backwaren Kuchen 1,30 | WeiÃŸwurst Telle; Breze 0,65 | Gericht frei | Port. Butter Honig ec | Semmeln |
 Backwaren Kuchen 1,30 | Gericht frei | Semmeln ; Breze 0,65 | Port. Butter Honig ec |
 Backwaren Kuchen 1,30 | Gericht frei | WeiÃŸwurst Telle; Breze 0,65 | Port. Butter Honig ec | Semmeln |
 Backwaren Kuchen 1,30 | Semmeln | WeiÃŸwurst Telle; Breze 0,65 | Gericht frei | Port. Butter Honig ec |
 Backwaren Kuchen 1,30 | Gericht frei | Port. Butter Honig ec ; Breze 0,65 | Semmeln |
 Backwaren Kuchen 1,30 | Port. Butter Honig ec | WeiÃŸwurst Telle; Breze 0,65 | Gericht frei | Semmeln |
 Backwaren Kuchen 1,30 | Breze 0,65 | Gericht frei ; Port. Butter Honig ec | Semmeln |
 Backwaren Kuchen 1,30 | Breze 0,65 | WeiÃŸwurst Telle; Gericht frei | Port. Butter Honig ec | Semmeln |
 Backwaren Kuchen 1,30 | Gericht frei | Port. Butter Honig ec | Semmeln ; Breze 0,65    
 Backwaren Kuchen 1,30 | Gericht frei | Port. Butter Honig ec | WeiÃŸwurst Telle; Breze 0,65 | Semmeln |
 Backwaren Kuchen 1,30 | Gericht frei | Semmeln | WeiÃŸwurst Telle; Breze 0,65 | Port. Butter Honig ec |
 Backwaren Kuchen 1,30 | Port. Butter Honig ec | Semmeln | WeiÃŸwurst Telle; Breze 0,65 | Gericht frei |
 Backwaren Kuchen 1,30 | Breze 0,65 | Gericht frei | Semmeln ; Port. Butter Honig ec    
 Backwaren Kuchen 1,30 | Breze 0,65 | Gericht frei | WeiÃŸwurst Telle; Port. Butter Honig ec | Semmeln |
 Backwaren Kuchen 1,30 | Breze 0,65 | Semmeln | WeiÃŸwurst Telle; Gericht frei | Port. Butter Honig ec |
 Backwaren Kuchen 1,30 | Breze 0,65 | Gericht frei | Port. Butter Honig ec ; Semmeln    
 Backwaren Kuchen 1,30 | Breze 0,65 | Port. Butter Honig ec | WeiÃŸwurst Telle; Gericht frei | Semmeln |
 Backwaren Kuchen 1,30 | Breze 0,65 | Port. Butter Honig ec | Semmeln ; Gericht frei    
 Backwaren Kuchen 1,30 | Breze 0,65 | Gericht frei | Port. Butter Honig ec | Semmeln ; WeiÃŸwurst Teller  
 Backwaren Kuchen 1,30 | Breze 0,65 | Gericht frei | Port. Butter Honig ec | WeiÃŸwurst Telle; Semmeln    
 Backwaren Kuchen 1,30 | Breze 0,65 | Gericht frei | Semmeln | WeiÃŸwurst Telle; Port. Butter Honig ec    
 Backwaren Kuchen 1,30 | Breze 0,65 | Port. Butter Honig ec | Semmeln | WeiÃŸwurst Telle; Gericht frei    
